filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
273	273	A	184	85.84794	5.26262	389	FALSE	3.32138	389	1.94124	389	22	2.665	-0.0043	filtered_out	-1	-1	0
274	274	A	189	17.23406	8.59595	1726	TRUE	0	1726	8.59595	1726	550	9.143	-0.0012	filtered_out	-1	-1	0
275	275	A	97	7.41932	6.31076	1267	TRUE	0	1267	6.31076	1267	322	7.79	-0.0018	filtered_out	-1	-1	0
276	276	A	437	93.18958	5.01029	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
277	277	A	485	145.77556	5.59794	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
278	278	A	12	5.8506	5.10159	1024	FALSE	0	1024	5.10159	1024	167	6.256	-0.0023	filtered_out	-1	-1	0
279	279	A	177	151.47078	3.84462	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
280	280	A	69	15.70418	4.4077	885	FALSE	0	885	4.4077	885	116	5.671	-8.00E-04	filtered_out	-1	-1	0
281	281	A	437	98.53951	5.58367	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
282	282	A	85	5.77855	8.04847	1616	FALSE	0	1616	8.04847	1616	248	6.522	-0.0023	filtered_out	-1	-1	0
283	283	A	308	59.04416	5.01195	1006	FALSE	0	1006	5.01195	1006	247	6.262	-0.0033	filtered_out	-1	-1	0
284	284	A	370	136.43592	5.48141	602	TRUE	2.4834	602	2.99801	602	221	7.511	-0.0013	filtered_out	-1	-1	0
285	285	A	237	27.76062	5.7666	1157	FALSE	0	1157	5.7666	1157	234	6.19	-0.0013	filtered_out	-1	-1	0
286	286	A	47	5.24701	8.11288	1629	FALSE	0	1629	8.11288	1629	109	5.595	-0.0021	filtered_out	-1	-1	0
287	287	A	232	24.29449	5.43592	545	FALSE	2.71979	545	2.71614	545	55	4.91	-0.0017	filtered_out	-1	-1	0
288	288	A	298	17.04349	13.39841	2690	TRUE	0	2690	13.39841	2690	925	9.489	-0.0019	filtered_out	-1	-1	0
289	289	A	166	24.7998	4.48971	901	FALSE	0	901	4.48971	901	230	6.772	-0.0016	filtered_out	-1	-1	0
290	290	A	224	9.76693	3.82171	666	FALSE	0.50266	666	3.31906	666	96	5.062	-0.0013	filtered_out	-1	-1	0
291	291	A	437	138.25564	9.16368	1840	TRUE	0	1840	9.16368	1840	640	9.218	-7.00E-04	filtered_out	-1	-1	0
